gene_id,a.value,m.value,p.value,q.value,estimatedDEG,expression
HSPH1,11.445590423211208,0.35771976960873,0.02016464958272795,0.37781975063483125,0,cko-low
AW495222,2.1270978649626344,-2.1493911480572745,0.020181437390076593,0.37794691865499236,0,cko-high
GM16291,2.6607644953943344,-2.0350619456214156,0.02019965920063852,0.3781008026302779,0,cko-high
A430035B10RIK,5.700076039159676,-0.6758036178591675,0.02025082200339691,0.3788708243328594,0,cko-high
CNKSR1,7.925416656066432,-0.5052287659878063,0.02035730025668758,0.3805783772497803,0,cko-high
LIMS2,9.555555059082323,0.3023826159689573,0.020362232186681196,0.3805783772497803,0,cko-low
IFITM1,6.079176869498533,-0.552622311657025,0.020384076650656186,0.38079833157765625,0,cko-high
GM48314,5.494973899539351,-0.7215902911229284,0.02042672538679717,0.3810724905478999,0,cko-high
RNFT2,5.531550274585906,-0.8004395565505025,0.02042681063950729,0.3810724905478999,0,cko-high
1600023N17RIK,2.7181372880109262,-1.6428110992284533,0.020429002589173507,0.3810724905478999,0,cko-high
RAC3,6.371481966417892,0.5780394210916171,0.020448992105197614,0.3810794932629443,0,cko-low
TIFA,6.527353998992219,-0.514052901014562,0.020456368441868187,0.3810794932629443,0,cko-high
GM48701,3.84436986792863,-0.947695916984705,0.020459628805845523,0.3810794932629443,0,cko-high
KCNC2,7.346118207417372,-0.4289505673105758,0.020472700498765727,0.3811351217977115,0,cko-high
SARAF,11.144641959054287,0.2544112802220315,0.020494753913258574,0.3812101260901496,0,cko-low
TM4SF4,4.126542412034088,-1.2888356307723376,0.02049690347732811,0.3812101260901496,0,cko-high
PDE4DIP,12.380129002394593,0.2510149132153625,0.020587258366648223,0.38270224702034905,0,cko-low
GM44086,5.877302155837251,-0.8014436965311438,0.020613636656331803,0.3828680464138417,0,cko-high
GM2814,3.194143198292757,1.6486300406663665,0.02062201325941846,0.3828680464138417,0,cko-low
DMPK,8.031664215170544,0.3488302678038524,0.02062657023969575,0.3828680464138417,0,cko-low
TFCP2,9.306188346159455,0.3618085936982336,0.020644889200520832,0.38301995712620684,0,cko-low
GM8326,7.599507439216659,0.4869294917447524,0.02065728413155395,0.3830618655052438,0,cko-low
SNTG1,2.356695434146616,-1.740517037489285,0.02067937605865064,0.3832834624857896,0,cko-high
RNF208,7.003315354221905,0.540766706113045,0.02070233642844523,0.38347087659372103,0,cko-low
MGAM,11.897052997989608,-0.26222875484570984,0.02070978141214502,0.38347087659372103,0,cko-high
C730027H18RIK,7.789407073429411,-0.5813881417074791,0.020730281219511124,0.3835118254494685,0,cko-high
BTBD3,8.825070747849875,-0.3201987090252505,0.020732356920839804,0.3835118254494685,0,cko-high
SLC10A3,6.865025978911486,-0.4289794246695111,0.02074243679135038,0.3835118254494685,0,cko-high
TRAF3IP1,8.5559337198269,0.3561143979994288,0.020756505174078763,0.3835576593441332,0,cko-low
GM37922,0.5121361820650402,3.0493806955769065,0.02077236736280657,0.3835576593441332,0,cko-low
IFI27,8.8365257826686,-0.4174946163120836,0.020781425435019128,0.3835576593441332,0,cko-high
GM17951,-3.1143336433984574,-3.184351405221751,0.020785512445406034,0.3835576593441332,0,cko-high
MLST8,7.511422650614859,0.42045280546183417,0.02081074769470867,0.3835852750484244,0,cko-low
GM11940,1.5371348527528421,-2.151929721832775,0.02081589230498719,0.3835852750484244,0,cko-high
GM37936,3.19763595594201,-1.3298189080261191,0.02081745869825144,0.3835852750484244,0,cko-high
NDRG1,14.26906660570926,0.6805687002628407,0.020847169102749988,0.3839411850586773,0,cko-low
HES3,-3.1143336433984574,-3.2330465247745592,0.02085709284836644,0.3839411850586773,0,cko-high
SLC6A20B,11.497330228139191,-0.28165497572915577,0.020883034148964665,0.3840625796186099,0,cko-high
GM38190,6.955789106695639,-0.44976550986429054,0.020886634449629328,0.3840625796186099,0,cko-high
GCAT,9.493772756635575,0.41887714411223875,0.02089999544663157,0.3840625796186099,0,cko-low
GM9176,4.124576260920152,1.2453356533152613,0.020904337591963394,0.3840625796186099,0,cko-low
GM9946,3.237381640373636,-1.5725181796490113,0.020915926008625896,0.38408876371136536,0,cko-high
GM12961,3.7216595476409386,-1.0295885403115341,0.02094488204284831,0.3844134518361245,0,cko-high
ARNTL,6.769714526607773,-1.0633652299861511,0.02095395085685903,0.3844134518361245,0,cko-high
TRIM68,6.608487366497423,-0.4349236160153014,0.02106121761423393,0.3861938554474181,0,cko-high
B3GALNT1,8.004333384792004,0.684706105167411,0.021122508606139647,0.38694345722802803,0,cko-low
ANG,4.178165830375913,0.9482254687737952,0.02112257494341188,0.38694345722802803,0,cko-low
ZADH2,9.809271047029803,0.25091414379031995,0.021135878432151974,0.3869995725328912,0,cko-low
ZC4H2,5.635769511114678,-0.596062594618525,0.021183583275692402,0.38768521992976623,0,cko-high
BMP7,9.445935758941122,0.3102120689162522,0.02122032465495991,0.3881696560310963,0,cko-low
CUX2,6.935896787105251,0.4519406183436505,0.021243172990599,0.38823063174586675,0,cko-low
NT5DC2,7.977715935765725,0.5261159617770357,0.021244203705822726,0.38823063174586675,0,cko-low
TWSG1,11.054238445957001,-0.2834715868772655,0.02125536262526297,0.38824681698112046,0,cko-high
GM26788,6.622267625334613,-0.4349561030973126,0.021305758256253946,0.3889793314107967,0,cko-high
RPS4L-PS,1.2134495065222122,2.4722352569542223,0.0213271836523237,0.38899852067027146,0,cko-low
CPNE2,7.3572198914350935,-0.5340898496829842,0.021335029140683227,0.38899852067027146,0,cko-high
